IDs         length   Exptl.  resolution  R-factor FreeRvalue
4Q4W4        69      XRAY        1.400    0.15    1.00
4DQJA       173      XRAY        1.230    0.15    0.17
3EJFA       176      XRAY        1.600    0.17    0.20
5TDAA        76      XRAY        0.790    0.12    0.13
4ZMKA        71      XRAY        1.500    0.16    0.20
5CEGB       117      XRAY        1.590    0.17    0.20
3T4LA       270      XRAY        1.530    0.18    0.20
1T6UA       117      XRAY        1.300    0.16    0.20
2WNPF       217      XRAY        1.210    0.18    0.19
1NZJA       298      XRAY        1.500    0.15    0.17
2JG0A       535      XRAY        1.500    0.15    0.19
2R751       338      XRAY        1.400    0.14    0.18
4XCBA       261      XRAY        1.600    0.22    0.25
2Y8YA       215      XRAY        1.440    0.18    0.20
3BOEA       210      XRAY        1.400    0.17    0.19
1I27A        73      XRAY        1.020    0.13    0.15
1LQVA       193      XRAY        1.600    0.19    0.22
1ZV1A        65      XRAY        1.600    0.21    0.26
4R9PA       242      XRAY        1.590    0.18    0.20
5JRYA       485      XRAY        1.200    0.11    0.13
3EERA       148      XRAY        1.450    0.14    0.16
3BWZA       181      XRAY        1.200    0.12    0.15
2ZPTX       295      XRAY        1.150    0.15    0.16
2VNGA       180      XRAY        1.400    0.19    0.23
1PMHX       185      XRAY        1.060    0.20    0.17
5LJXA       495      XRAY        1.400    0.19    0.21
5D2KA       269      XRAY        1.570    0.15    0.17
5J93A       176      XRAY        1.100    0.13    0.14
1V5IB        76      XRAY        1.500    0.18    0.19
5C86A       488      XRAY        1.510    0.15    0.18
2WOYA       356      XRAY        1.500    0.18    0.21
3TEWA       715      XRAY        1.450    0.19    0.22
3ZOQB        56      XRAY        1.450    0.14    0.18
4GWGA       484      XRAY        1.390    0.17    0.19
2CXYA       125      XRAY        1.600    0.19    0.20
5MPWA       115      XRAY        1.500    0.16    0.19
2OZTA       332      XRAY        1.420    0.18    0.21
4JG2A       208      XRAY        1.300    0.13    0.16
1PQHA       143      XRAY        1.290    0.15    0.17
4LHSA       343      XRAY        1.400    0.13    0.16
2YFOA       720      XRAY        1.350    0.12    0.14
4CI9A       455      XRAY        1.580    0.17    0.19
3AYJA       721      XRAY        1.100    0.11    0.13
2VC8A        84      XRAY        1.310    0.20    0.23
3CJMA       282      XRAY        1.500    0.15    0.17
5DFSA       105      XRAY        1.150    0.16    0.18
5UE1A       234      XRAY        1.140    0.13    0.16
1PO5A       476      XRAY        1.600    0.22    0.29
4QPTA       215      XRAY        1.350    0.17    0.20
3UI4A       101      XRAY        0.800    0.10    0.10
1GA6A       372      XRAY        1.000    0.12    0.13
2OB3A       330      XRAY        1.040    0.10    0.13
2BMOB       194      XRAY        1.200    0.16    0.17
4EKFA       204      XRAY        0.980    0.14    0.17
1W23A       360      XRAY        1.080    0.12    0.14
3ZVSA       160      XRAY        1.400    0.14    0.16
2GXQA       207      XRAY        1.200    0.14    0.17
5EXHC        47      XRAY        1.300    0.17    0.19
3VWCA       149      XRAY        1.500    0.20    0.23
4LZXB        40      XRAY        1.500    0.15    0.19
5AZWA        96      XRAY        1.500    0.22    0.23
4IUSA       261      XRAY        1.300    0.13    0.16
4GJZA       235      XRAY        1.050    0.15    0.16
5K2LA        49      XRAY        1.200    0.14    0.18
3M0MA       438      XRAY        1.450    0.18    0.20
2R8EA       188      XRAY        1.400    0.16    0.19
1V0WA       506      XRAY        1.350    0.16    0.19
5B42A       102      XRAY        1.350    0.14    0.18
4IQBA       315      XRAY        1.130    0.12    0.14
2HOXA       427      XRAY        1.400    0.17    0.20
5HT2A       256      XRAY        1.430    0.12    0.15
3QZRA       187      XRAY        1.040    0.16    0.16
5A6MA       409      XRAY        1.170    0.12    0.14
1K4IA       233      XRAY        0.980    0.18    0.20
5H0QA       202      XRAY        1.500    0.18    0.22
4IEJA        93      XRAY        1.450    0.20    0.23
5L74A       151      XRAY        1.360    0.18    0.20
3TOWA       152      XRAY        1.340    0.17    0.19
1YC5A       246      XRAY        1.400    0.19    0.20
5IODA       143      XRAY        1.600    0.19    0.23
1GUTA        68      XRAY        1.500    0.18    0.22
2XW6A       134      XRAY        1.080    0.13    0.16
5I0YA       160      XRAY        1.400    0.19    0.21
4EZIA       377      XRAY        1.150    0.14    0.16
4M1UA       297      XRAY        1.560    0.17    0.19
3ZOJA       279      XRAY        0.880    0.10    0.11
5M10A       541      XRAY        1.220    0.13    0.17
1KJQA       391      XRAY        1.050    0.19    0.21
2FCOA       200      XRAY        1.400    0.22    0.23
4YWAA       121      XRAY        1.190    0.19    0.20
1VJUA       309      XRAY        1.400    0.15    0.18
2O2KA       355      XRAY        1.600    0.21    0.25
4RWUA        92      XRAY        1.250    0.12    0.15
5EZUA        89      XRAY        1.550    0.20    0.24
3LMZA       257      XRAY        1.440    0.15    0.18
2OXGB       124      XRAY        1.400    0.17    0.19
5TVOA       284      XRAY        1.480    0.16    0.20
2QFEA       148      XRAY        1.450    0.19    0.21
3K05A       200      XRAY        1.330    0.18    0.20
3U9WA       608      XRAY        1.250    0.13    0.16
5KZZA       127      XRAY        1.330    0.16    0.19
3RZNA       209      XRAY        1.100    0.14    0.16
3CWRA       208      XRAY        1.500    0.15    0.19
5KCOA       225      XRAY        1.470    0.18    0.21
3AWUB       134      XRAY        1.160    0.14    0.17
4HNOA       288      XRAY        0.920    0.13    0.14
5A12A       242      XRAY        1.400    0.12    0.15
2W47A       144      XRAY        1.400    0.19    0.20
3E0XA       245      XRAY        1.450    0.14    0.18
2CNQA       306      XRAY        1.000    0.12    0.13
5M72B        71      XRAY        1.600    0.14    0.18
2GRRB       170      XRAY        1.300    0.20    0.22
1KDGA       546      XRAY        1.500    0.14    0.17
5HGZA       243      XRAY        1.380    0.18    0.19
4U5HA        90      XRAY        1.580    0.20    0.21
4NLMA       363      XRAY        1.180    0.15    0.18
4ZPCA       462      XRAY        1.590    0.21    0.23
3VRDB       401      XRAY        1.500    0.16    0.20
4REKA       499      XRAY        0.740    0.11    0.12
1QW9A       502      XRAY        1.200    0.17    0.18
2XWVA       312      XRAY        1.050    0.13    0.15
2ZS0C       147      XRAY        1.600    0.17    0.20
3E4GA       176      XRAY        0.960    0.14    0.16
2GUDA       122      XRAY        0.940    0.14    0.16
3ULJA        90      XRAY        1.060    0.12    0.14
3PFEA       472      XRAY        1.500    0.14    0.16
1WLZA       105      XRAY        1.600    0.20    0.22
3PFTA       157      XRAY        1.600    0.17    0.20
5IK4A       393      XRAY        1.270    0.16    0.18
4Y2FA       149      XRAY        1.400    0.18    0.20
2A6ZA       222      XRAY        1.000    0.13    0.16
4KNKA       225      XRAY        1.120    0.12    0.14
1SFSA       240      XRAY        1.070    0.10    0.14
4HCSA        81      XRAY        1.280    0.18    0.21
3WVTA       189      XRAY        1.600    0.20    0.20
5DMDA       151      XRAY        1.450    0.21    0.24
4B8XA       147      XRAY        1.250    0.15    0.17
4CG1A       282      XRAY        1.400    0.14    0.16
1R6XA       395      XRAY        1.400    0.20    0.22
3CJSA        59      XRAY        1.370    0.18    0.21
1MWQA       101      XRAY        0.990    0.11    0.13
4R3NA       366      XRAY        1.350    0.13    0.16
4QC6A       179      XRAY        1.300    0.15    0.17
4ZVFA       172      XRAY        1.150    0.14    0.17
4ZW9A       518      XRAY        1.500    0.18    0.20
4ATEA       266      XRAY        1.100    0.12    0.15
4FS7A       394      XRAY        1.190    0.13    0.16
4HBQA       206      XRAY        1.400    0.14    0.18
5HBPA       127      XRAY        1.500    0.17    0.18
4IN0A       148      XRAY        1.330    0.13    0.18
4IIKA       319      XRAY        1.600    0.12    0.17
2XTPA       260      XRAY        1.500    0.18    0.20
4DK2A       297      XRAY        1.470    0.18    0.21
4XQCA       475      XRAY        1.270    0.15    0.18
2O0AA       298      XRAY        1.600    0.21    0.26
3NO2A       276      XRAY        1.350    0.15    0.16
5J1JA       285      XRAY        1.550    0.17    0.19
2UU8A       237      XRAY        0.940    0.12    0.14
1XDNA       277      XRAY        1.200    0.13    0.15
4R03A       109      XRAY        1.500    0.17    0.19
3U9RB       555      XRAY        1.500    0.17    0.18
1JI7A        89      XRAY        1.450    0.18    0.20
3KKFA       105      XRAY        1.300    0.14    0.17
2BOGX       286      XRAY        1.040    0.15    0.17
1N62B       809      XRAY        1.090    0.14    0.17
2CJTA       131      XRAY        1.440    0.16    0.19
4RPMA       406      XRAY        1.400    0.19    0.20
4Z0ZA       350      XRAY        1.600    0.17    0.20
4FZLA       247      XRAY        1.460    0.15    0.20
4TYZA       110      XRAY        1.600    0.16    0.19
2ZNRA       178      XRAY        1.200    0.15    0.17
3X0TA       119      XRAY        1.170    0.13    0.17
4RAYA       145      XRAY        1.550    0.18    0.21
3S9XA       159      XRAY        1.350    0.14    0.17
3ZRXA       115      XRAY        1.250    0.15    0.20
2FCWA       109      XRAY        1.260    0.15    0.20
3URRA       153      XRAY        1.400    0.17    0.20
5AE0A       221      XRAY        1.040    0.13    0.16
1M4LA       307      XRAY        1.250    0.10    0.14
2Y78A       133      XRAY        0.910    0.11    0.12
2IUWA       238      XRAY        1.500    0.14    0.19
3IB5A       348      XRAY        1.350    0.15    0.18
5I95A       424      XRAY        1.540    0.14    0.17
1BKRA       109      XRAY        1.100    0.14    0.19
3SZ3A       341      XRAY        1.500    0.16    0.18
1K7CA       233      XRAY        1.120    0.11    0.13
1ZK5A       176      XRAY        1.400    0.19    0.20
3VJ9A       343      XRAY        1.520    0.16    0.21
3R2QA       202      XRAY        1.050    0.13    0.15
1VKKA       154      XRAY        1.350    0.16    0.19
3ML1B       135      XRAY        1.600    0.16    0.19
4XDUA       340      XRAY        1.350    0.17    0.19
5A1IA       395      XRAY        1.090    0.10    0.12
5TPIA       211      XRAY        1.470    0.14    0.18
1W0HA       204      XRAY        1.590    0.17    0.20
3IWFA       107      XRAY        1.400    0.18    0.20
5A6WA        75      XRAY        1.600    0.18    0.20
2XETA        89      XRAY        1.600    0.17    0.21
4OE9A       121      XRAY        1.550    0.14    0.17
5BR4A       391      XRAY        0.910    0.13    0.15
2VCLA       233      XRAY        1.550    0.17    0.19
1RV9A       259      XRAY        1.530    0.20    0.21
4RD7A       127      XRAY        1.570    0.16    0.19
2WDCA       562      XRAY        1.500    0.17    0.19
3OV9A       245      XRAY        1.600    0.22    0.25
4GT8A       139      XRAY        1.510    0.18    0.20
4MNCA       332      XRAY        1.050    0.13    0.14
1EUVA       221      XRAY        1.600    0.19    0.25
4JK8A       222      XRAY        1.150    0.14    0.16
4U5RA       152      XRAY        1.550    0.16    0.17
3IEZA       114      XRAY        1.500    0.21    0.26
1WPUA       147      XRAY        1.480    0.21    0.24
4BYZA       194      XRAY        1.550    0.15    0.20
1DK8A       147      XRAY        1.570    0.17    0.20
4G8BA       279      XRAY        1.300    0.15    0.16
3GKJA       232      XRAY        1.600    0.18    0.20
1INLA       296      XRAY        1.500    0.20    0.21
2NR7A       195      XRAY        1.300    0.16    0.20
4O6UA       184      XRAY        0.890    0.12    0.13
1SZHA       161      XRAY        1.500    0.21    0.23
2QEDA       258      XRAY        1.450    0.16    0.17
3VLAA       413      XRAY        0.950    0.13    0.15
1PF3A       498      XRAY        1.500    0.19    0.23
5HTXA       439      XRAY        1.490    0.14    0.17
4PXEA       430      XRAY        1.450    0.16    0.18
4EBGA       101      XRAY        1.200    0.14    0.17
1MUWA       386      XRAY        0.860    0.13    0.14
4FR9A       144      XRAY        1.200    0.15    0.17
2W40A       503      XRAY        1.490    0.17    0.21
4Z47A       204      XRAY        1.450    0.14    0.20
1MNNA       340      XRAY        1.400    0.20    0.21
5DRGA       250      XRAY        1.140    0.14    0.17
4ZLFA       796      XRAY        1.600    0.16    0.18
3R4ZA       374      XRAY        1.550    0.17    0.18
5CKLA       188      XRAY        0.990    0.11    0.12
2PRVA       153      XRAY        1.300    0.14    0.17
3S4EA       144      XRAY        1.260    0.15    0.18
1KAFA       108      XRAY        1.600    0.23    0.26
2RBDA       171      XRAY        1.540    0.16    0.19
3FTDA       249      XRAY        1.440    0.16    0.20
4M51A       427      XRAY        1.080    0.12    0.14
4WHSA       200      XRAY        1.350    0.14    0.17
4NESA       374      XRAY        1.420    0.20    0.22
3BT5A       177      XRAY        1.350    0.16    0.19
5AOTA       106      XRAY        1.020    0.17    0.17
3H4TA       404      XRAY        1.150    0.17    0.18
4EZGA       197      XRAY        1.500    0.17    0.19
3G5TA       299      XRAY        1.120    0.12    0.14
5F2KA       368      XRAY        1.600    0.20    0.22
4ZBHA       146      XRAY        1.500    0.16    0.20
3RT2A       183      XRAY        1.500    0.17    0.21
4MIYA       339      XRAY        1.420    0.19    0.21
5BU1A       297      XRAY        1.600    0.16    0.20
5B1AE       109      XRAY        1.500    0.15    0.17
3WI9A       324      XRAY        1.300    0.18    0.20
1XT5A       135      XRAY        1.150    0.13    0.14
4YDRA       304      XRAY        1.600    0.20    0.23
2A0BA       125      XRAY        1.570    0.19    0.24
3WWLA        54      XRAY        1.200    0.15    0.15
3EYEA       168      XRAY        1.450    0.19    0.22
3IMKA       158      XRAY        1.450    0.15    0.18
3MZFA       363      XRAY        1.500    0.19    0.21
4C6AA       154      XRAY        1.250    0.16    0.17
3Q46A       178      XRAY        0.990    0.11    0.12
2JHFA       374      XRAY        1.000    0.12    0.15
2RBKA       261      XRAY        1.000    0.12    0.15
4U6OA       166      XRAY        1.300    0.21    0.23
4WY4A        64      XRAY        1.400    0.14    0.18
5E75A       519      XRAY        1.360    0.15    0.17
5BOBA       226      XRAY        1.500    0.16    0.19
1W53A        84      XRAY        1.600    0.20    0.23
2V89A        82      XRAY        1.100    0.12    0.15
1H2CA       140      XRAY        1.600    0.17    0.18
1GWMA       153      XRAY        1.150    0.13    0.16
1TQGA       105      XRAY        0.980    0.18    0.21
4UQDA       409      XRAY        1.250    0.13    0.17
3SU6A       203      XRAY        1.100    0.15    0.17
1W7CA       747      XRAY        1.230    0.11    0.15
4BFOA       106      XRAY        1.180    0.16    0.17
3DHAA       254      XRAY        0.950    0.13    0.17
3KU3B       174      XRAY        1.600    0.20    0.23
2BAYA        61      XRAY        1.500    0.18    0.20
4CJ0B        81      XRAY        1.100    0.11    0.12
2H8EA       120      XRAY        1.200    0.18    0.19
1JF4A       147      XRAY        1.400    0.19    0.21
5D8VA        83      XRAY        0.480    0.07    0.08
4ZBGA       172      XRAY        1.250    0.14    0.16
4LWRA       196      XRAY        1.100    0.15    0.18
1EVLA       401      XRAY        1.550    0.22    0.23
2JE6A       277      XRAY        1.600    0.22    0.25
4HWMA       130      XRAY        1.380    0.15    0.18
4YZZA       367      XRAY        1.300    0.14    0.16
3WS7A       306      XRAY        1.180    0.17    0.19
4F2LA        61      XRAY        1.500    0.18    0.21
5UOUA       166      XRAY        1.500    0.17    0.20
3B9WA       407      XRAY        1.300    0.15    0.17
2AXWA       134      XRAY        1.050    0.15    0.17
4UE8A       184      XRAY        1.100    0.15    0.16
2ZA4B        90      XRAY        1.580    0.20    0.20
1S9UA       207      XRAY        1.380    0.16    0.18
3W0OA       349      XRAY        1.500    0.18    0.21
4E4RA       331      XRAY        1.440    0.13    0.18
3FGHA        67      XRAY        1.350    0.19    0.21
3JS8A       540      XRAY        1.540    0.18    0.20
3C2UA       538      XRAY        1.300    0.14    0.16
256BA       106      XRAY        1.400    0.16    1.00
2IP6A       112      XRAY        1.350    0.21    0.23
2W7ZA       214      XRAY        1.600    0.19    0.22
2J6VA       301      XRAY        1.550    0.18    0.21
3IPJA        95      XRAY        1.200    0.14    0.17
5F8ZA       239      XRAY        1.500    0.18    0.22
3C9UA       342      XRAY        1.480    0.20    0.22
5C17A       209      XRAY        1.240    0.14    0.16
2NUHA       118      XRAY        1.390    0.20    0.20
4WWBA       118      XRAY        1.110    0.11    0.12
3KIZA       394      XRAY        1.500    0.16    0.19
1M22A       503      XRAY        1.400    0.18    0.20
4HC9A       115      XRAY        1.600    0.18    0.22
3Q49B       137      XRAY        1.540    0.17    0.21
2I5VO       251      XRAY        1.100    0.16    0.17
2IMHA       231      XRAY        1.570    0.17    0.21
4ZILA       220      XRAY        1.510    0.13    0.18
2IT2A       200      XRAY        1.500    0.25    0.27
3SZVA       401      XRAY        1.450    0.18    0.20
3VMKA       375      XRAY        1.480    0.20    0.23
2ZPMA        91      XRAY        0.980    0.15    0.18
3Q1CA       360      XRAY        1.600    0.16    0.19
3RPDA       357      XRAY        1.500    0.17    0.19
4F54A       197      XRAY        1.600    0.17    0.20
1TZPA       255      XRAY        1.400    0.18    0.21
4CVRA       159      XRAY        1.100    0.14    0.17
4H14A       290      XRAY        1.550    0.16    0.18
3U3LC       233      XRAY        1.570    0.19    0.21
2OVJA       201      XRAY        1.490    0.15    0.18
1QLWA       328      XRAY        1.090    0.14    0.16
4H4DA       323      XRAY        1.350    0.19    0.21
4WPKA       238      XRAY        0.980    0.14    0.15
3IV0A       481      XRAY        1.350    0.15    0.17
1USMA        80      XRAY        1.200    0.21    0.23
2A3NA       355      XRAY        1.230    0.11    0.14
2VEZA       190      XRAY        1.450    0.17    0.22
5A0YA       550      XRAY        1.100    0.11    0.13
2ILKA       160      XRAY        1.600    0.16    1.00
1P6OA       161      XRAY        1.140    0.11    0.15
2WH6A       173      XRAY        1.500    0.20    0.20
5U4NA       362      XRAY        1.600    0.15    0.17
5ML3B       149      XRAY        1.400    0.19    0.20
3SP7A       172      XRAY        1.400    0.17    0.18
2XODA       119      XRAY        0.960    0.12    0.15
2Q9KA       151      XRAY        1.590    0.21    0.25
3U6GA       126      XRAY        1.350    0.16    0.21
2R4IA       123      XRAY        1.600    0.18    0.20
3N10A       179      XRAY        1.600    0.22    0.25
3RX9A       155      XRAY        1.350    0.14    0.16
2IUMA       248      XRAY        1.600    0.18    0.21
2YVTA       260      XRAY        1.600    0.17    0.20
3OEBA       144      XRAY        1.550    0.20    0.22
5B1AL        47      XRAY        1.500    0.15    0.17
4U8FA       220      XRAY        1.550    0.20    0.21
1UNQA       125      XRAY        0.980    0.15    0.18
1J98A       157      XRAY        1.200    0.13    0.15
3AOWA       448      XRAY        1.560    0.18    0.22
3MJEA       496      XRAY        1.360    0.20    0.23
3KKGA       146      XRAY        1.400    0.18    0.20
5I5NA       154      XRAY        1.420    0.18    0.19
4YMYA       174      XRAY        1.000    0.12    0.14
1DCSA       311      XRAY        1.300    0.13    0.15
3I33A       404      XRAY        1.300    0.18    0.20
4UHQA       136      XRAY        1.500    0.17    0.19
3FGVA       106      XRAY        1.300    0.13    0.15
5FJDA       122      XRAY        1.500    0.12    0.18
1NTHA       458      XRAY        1.550    0.18    0.19
3MAOA       105      XRAY        1.420    0.14    0.17
2CIWA       299      XRAY        1.150    0.15    0.17
5BPKA       379      XRAY        1.490    0.14    0.18
5IG6A       115      XRAY        0.910    0.13    0.14
5IXHA       161      XRAY        1.400    0.16    0.18
2P9WA       334      XRAY        1.350    0.14    0.15
3JYOA       283      XRAY        1.000    0.17    0.19
3A09A       490      XRAY        1.400    0.13    0.21
2BO9B       222      XRAY        1.600    0.15    0.18
4FTFA       112      XRAY        1.480    0.16    0.18
4MBYA       278      XRAY        1.480    0.17    0.19
5IHFA       116      XRAY        1.580    0.20    0.21
1M0KA       262      XRAY        1.430    0.13    0.18
2ZHPA       124      XRAY        1.600    0.19    0.22
2IBLA       130      XRAY        1.320    0.16    0.17
1WTJA       343      XRAY        1.550    0.19    0.21
2A35A       215      XRAY        1.500    0.18    0.20
3DG9A       248      XRAY        1.500    0.16    0.19
4UE0A       122      XRAY        1.170    0.12    0.15
1XMTA       103      XRAY        1.150    0.15    0.17
4M8AA        72      XRAY        1.500    0.17    0.20
3ORUA       234      XRAY        1.110    0.13    0.15
1MK0A        97      XRAY        1.600    0.20    0.22
2RL8A       154      XRAY        1.450    0.22    0.24
3OAJA       335      XRAY        1.400    0.18    0.23
2I51A       195      XRAY        1.400    0.17    0.19
4JQFA       179      XRAY        1.600    0.20    0.22
2WZOA       146      XRAY        1.600    0.18    0.20
5L2LA        77      XRAY        1.550    0.13    0.15
4QMDA       193      XRAY        1.600    0.17    0.20
3HJ4A       384      XRAY        1.560    0.16    0.20
3B5OA       244      XRAY        1.350    0.16    0.17
1DY5A       124      XRAY        0.870    0.10    0.12
3WH2A       147      XRAY        1.300    0.13    0.16
2RA9A       150      XRAY        1.400    0.16    0.20
3TG0A       449      XRAY        1.200    0.15    0.17
4KM6A       208      XRAY        1.550    0.17    0.20
5HWKA       240      XRAY        1.340    0.16    0.19
1LLFA       534      XRAY        1.400    0.14    0.17
3ER7A       131      XRAY        1.500    0.18    0.21
1UGIA        84      XRAY        1.550    0.22    0.29
4D0PA       387      XRAY        1.600    0.18    0.19
2V3IA       434      XRAY        1.050    0.12    0.14
4W79A       202      XRAY        1.500    0.14    0.17
3NDHA       225      XRAY        1.300    0.17    0.18
2R01A       210      XRAY        1.150    0.15    0.17
3TE4A       215      XRAY        1.460    0.14    0.20
4PDNA       190      XRAY        1.450    0.15    0.17
5GV0A       168      XRAY        1.500    0.18    0.20
4B1YB       376      XRAY        1.290    0.15    0.17
3KH1A       200      XRAY        1.370    0.13    0.16
5DCUA       371      XRAY        1.400    0.16    0.18
2CXNA       557      XRAY        1.400    0.17    0.19
4LMYA       163      XRAY        1.600    0.22    0.24
2AP3A       199      XRAY        1.600    0.23    0.27
3VL1A       420      XRAY        1.600    0.16    0.23
2WQ4A       156      XRAY        1.420    0.13    0.17
3Q7CA       243      XRAY        1.500    0.19    0.22
4W8QA       242      XRAY        1.430    0.14    0.16
3GA4A       178      XRAY        1.300    0.15    0.19
4ZCEA        50      XRAY        1.550    0.17    0.19
2J8KA       201      XRAY        1.500    0.17    0.18
3R5TA       305      XRAY        1.450    0.18    0.21
4J1OA       391      XRAY        1.600    0.16    0.18
3PP5A        73      XRAY        1.500    0.16    0.18
4GVFA       349      XRAY        1.350    0.17    0.19
5A67A       212      XRAY        1.300    0.14    0.17
2C71A       216      XRAY        1.050    0.12    0.14
2DKOA       146      XRAY        1.060    0.14    0.17
5DKXA       951      XRAY        1.400    0.15    0.17
4AXOA       151      XRAY        1.000    0.14    0.15
4YKIA       256      XRAY        1.210    0.14    0.16
3GVEA       341      XRAY        1.250    0.15    0.16
2W50A       102      XRAY        1.600    0.21    0.24
2D1SA       548      XRAY        1.300    0.18    0.20
1JUHA       350      XRAY        1.600    0.16    0.19
4XTBA       123      XRAY        1.500    0.14    0.18
2QOLA       373      XRAY        1.070    0.20    0.21
2RH2A        62      XRAY        0.960    0.10    0.12
2D5WA       603      XRAY        1.300    0.19    0.20
4TXRC        58      XRAY        1.000    0.16    0.18
1LWBA       122      XRAY        1.050    0.10    0.14
2G84A       197      XRAY        1.400    0.13    0.16
2WJ5A       101      XRAY        1.120    0.15    0.18
4F2EA        98      XRAY        1.450    0.18    0.20
4QI3A       208      XRAY        1.400    0.18    0.23
2FHZB       108      XRAY        1.150    0.20    0.20
1RYLA       167      XRAY        1.600    0.22    0.26
2RK9A       145      XRAY        1.600    0.21    0.23
3GHAA       202      XRAY        1.400    0.21    0.25
3MWZA       115      XRAY        1.520    0.18    0.20
4A02A       166      XRAY        0.950    0.10    0.12
1K4NA       192      XRAY        1.600    0.21    0.22
2GYQA       173      XRAY        1.400    0.14    0.18
2RKVA       451      XRAY        1.600    0.18    0.21
4LUAA       167      XRAY        1.600    0.18    0.21
5F6RA       175      XRAY        1.180    0.15    0.17
4HTGA       320      XRAY        1.450    0.15    0.22
1I71A        83      XRAY        1.450    0.17    0.20
4ESMA       302      XRAY        1.350    0.15    0.18
1X6ZA       123      XRAY        0.780    0.14    0.15
3W0KA       330      XRAY        1.600    0.18    0.19
2GUHA       214      XRAY        1.520    0.17    0.19
3A9FA        92      XRAY        1.300    0.14    0.15
2PY5A       575      XRAY        1.600    0.17    0.19
4X9TA       317      XRAY        1.240    0.17    0.19
2ERLA        40      XRAY        1.000    0.13    0.17
3GJYA       317      XRAY        1.470    0.16    0.19
3RL5A       296      XRAY        1.260    0.15    0.17
3QZMA       127      XRAY        1.250    0.14    0.16
2P4HX       322      XRAY        1.400    0.19    0.20
2FCLA       169      XRAY        1.200    0.14    0.17
5L37A        95      XRAY        1.600    0.15    0.18
3V46A       170      XRAY        1.550    0.17    0.21
1YU0A       381      XRAY        1.560    0.13    0.14
4ANNA       215      XRAY        1.050    0.14    0.18
1AHOA        64      XRAY        0.960    0.16    1.00
1WDDS       128      XRAY        1.350    0.16    0.18
4G7XB       138      XRAY        1.440    0.21    0.22
5E50A       111      XRAY        1.380    0.14    0.17
4X33A        63      XRAY        1.450    0.15    0.18
2QF4A       172      XRAY        1.200    0.14    0.17
3LKMA       307      XRAY        1.600    0.20    0.22
5B4BA       248      XRAY        1.600    0.16    0.19
2P0SA       143      XRAY        1.600    0.18    0.23
3GE3E       103      XRAY        1.520    0.17    0.19
4HU2A       198      XRAY        1.460    0.17    0.22
3HF5A       116      XRAY        1.400    0.18    0.21
1KNGA       156      XRAY        1.140    0.12    0.15
2P51A       333      XRAY        1.400    0.14    0.20
2VB1A       129      XRAY        0.650    0.08    0.10
4UYRA       211      XRAY        0.890    0.13    0.13
4OQVA       377      XRAY        1.230    0.14    0.16
5IWHA       117      XRAY        1.100    0.14    0.17
5CDKA       183      XRAY        1.500    0.14    0.17
5MT2A       381      XRAY        1.410    0.13    0.17
1BX7A        55      XRAY        1.200    0.18    0.23
3KE7A       134      XRAY        1.450    0.15    0.18
4DN7A       429      XRAY        1.600    0.17    0.23
1V4PA       157      XRAY        1.450    0.21    0.23
1FCQA       350      XRAY        1.600    0.19    0.23
1R6JA        82      XRAY        0.730    0.07    0.09
2C3VA       102      XRAY        1.390    0.20    0.25
5FA8A       161      XRAY        1.300    0.18    0.21
4UQXA       264      XRAY        1.200    0.15    0.16
1TT8A       164      XRAY        1.000    0.12    0.15
4YTKA       130      XRAY        1.090    0.18    0.20
4GMUA       612      XRAY        1.200    0.17    0.20
1RYOA       327      XRAY        1.200    0.22    0.23
3PMSA       326      XRAY        1.570    0.15    0.18
4HMSA       225      XRAY        1.330    0.12    0.15
3G16A       156      XRAY        1.450    0.15    0.17
2FJ8A       125      XRAY        1.190    0.21    0.24
4O59O       332      XRAY        1.520    0.18    0.21
5HZ8A       135      XRAY        1.120    0.14    0.17
1WWIA       148      XRAY        1.580    0.19    0.20
1ZCEA       155      XRAY        1.300    0.20    0.21
5J1NA       175      XRAY        1.090    0.16    0.18
1QV1A       195      XRAY        1.100    0.14    0.17
1OU8A       111      XRAY        1.600    0.21    0.23
3TT9A       233      XRAY        1.550    0.16    0.19
1TUAA       191      XRAY        1.500    0.21    0.23
2OVGA        66      XRAY        1.350    0.13    0.17
4M0WA       327      XRAY        1.400    0.16    0.18
4WN5A       115      XRAY        1.150    0.12    0.14
3DS4A        86      XRAY        1.120    0.21    0.23
2WE5A       310      XRAY        1.390    0.20    0.21
4OFAA       192      XRAY        1.550    0.14    0.18
3MC3A       134      XRAY        1.490    0.12    0.14
4YZ0A       204      XRAY        1.150    0.12    0.15
2CS7A        55      XRAY        1.200    0.11    0.14
2QL8A       143      XRAY        1.500    0.14    0.16
2G7SA       194      XRAY        1.400    0.14    0.19
1O8XA       146      XRAY        1.300    0.18    0.21
3MVSA       210      XRAY        1.100    0.16    0.19
5E5YA        63      XRAY        1.510    0.18    0.23
1Z6MA       175      XRAY        1.300    0.16    0.19
2Z6OA       172      XRAY        1.600    0.20    0.22
5AZBA       300      XRAY        1.600    0.18    0.22
4GC3A       284      XRAY        1.320    0.15    0.16
3ZY7A       122      XRAY        1.090    0.16    0.18
1JY2O        56      XRAY        1.400    0.22    0.24
2QLTA       275      XRAY        1.600    0.17    0.20
4ACJA       167      XRAY        0.970    0.12    0.14
1PSRA       100      XRAY        1.050    0.11    0.14
4NTDA       340      XRAY        1.600    0.15    0.16
4EE6A       304      XRAY        1.330    0.19    0.21
